Name,Population (2020),Yearly Change (%),Net Change,Country Density (P/Km2),Land Area (Km2),World Share (%)
China,1439323776,0.39,5540090,153,9388211,18.47
India,1380004385,0.99,13586631,464,2973190,17.7
United States,331002651,0.59,1937734,36,9147420,4.25
Indonesia,273523615,1.07,2898047,151,1811570,3.51
Pakistan,220892340,2.0,4327022,287,770880,2.83
Brazil,212559417,0.72,1509890,25,8358140,2.73
Nigeria,206139589,2.58,5175990,226,910770,2.64
Bangladesh,164689383,1.01,1643222,1265,130170,2.11
Russia,145934462,0.04,62206,9,16376870,1.87
Mexico,128932753,1.06,1357224,66,1943950,1.65
Japan,126476461,-0.3,-383840,347,364555,1.62
Ethiopia,114963588,2.57,2884858,115,1000000,1.47
Philippines,109581078,1.35,1464463,368,298170,1.41
Egypt,102334404,1.94,1946331,103,995450,1.31
Vietnam,97338579,0.91,876473,314,310070,1.25
DR Congo,89561403,3.19,2770836,40,2267050,1.15
Turkey,84339067,1.09,909452,110,769630,1.08
Iran,83992949,1.3,1079043,52,1628550,1.08
Germany,83783942,0.32,266897,240,348560,1.07
Thailand,69799978,0.25,174396,137,510890,0.9
United Kingdom,67886011,0.53,355839,281,241930,0.87
France,65273511,0.22,143783,119,547557,0.84
Italy,60461826,-0.15,-88249,206,294140,0.78
Tanzania,59734218,2.98,1728755,67,885800,0.77
South Africa,59308690,1.28,750420,49,1213090,0.76
Myanmar,54409800,0.67,364380,83,653290,0.7
Kenya,53771296,2.28,1197323,94,569140,0.69
South Korea,51269185,0.09,43877,527,97230,0.66
Colombia,50882891,1.08,543448,46,1109500,0.65
Spain,46754778,0.04,18002,94,498800,0.6
Uganda,45741007,3.32,1471413,229,199810,0.59
Argentina,45195774,0.93,415097,17,2736690,0.58
Algeria,43851044,1.85,797990,18,2381740,0.56
Sudan,43849260,2.42,1036022,25,1765048,0.56
Ukraine,43733762,-0.59,-259876,75,579320,0.56
Iraq,40222493,2.32,912710,93,434320,0.52
Afghanistan,38928346,2.33,886592,60,652860,0.5
Poland,37846611,-0.11,-41157,124,306230,0.49
Canada,37742154,0.89,331107,4,9093510,0.48
Morocco,36910560,1.2,438791,83,446300,0.47
Saudi Arabia,34813871,1.59,545343,16,2149690,0.45
Uzbekistan,33469203,1.48,487487,79,425400,0.43
Peru,32971854,1.42,461401,26,1280000,0.42
Angola,32866272,3.27,1040977,26,1246700,0.42
Malaysia,32365999,1.3,416222,99,328550,0.42
Mozambique,31255435,2.93,889399,40,786380,0.4
Ghana,31072940,2.15,655084,137,227540,0.4
Yemen,29825964,2.28,664042,56,527970,0.38
Nepal,29136808,1.85,528098,203,143350,0.37
Venezuela,28435940,-0.28,-79889,32,882050,0.36
Madagascar,27691018,2.68,721711,48,581795,0.36
Cameroon,26545863,2.59,669483,56,472710,0.34
Côte d'Ivoire,26378274,2.57,661730,83,318000,0.34
North Korea,25778816,0.44,112655,214,120410,0.33
Australia,25499884,1.18,296686,3,7682300,0.33
Niger,24206644,3.84,895929,19,1266700,0.31
Taiwan,23816775,0.18,42899,673,35410,0.31
Sri Lanka,21413249,0.42,89516,341,62710,0.27
Burkina Faso,20903273,2.86,581895,76,273600,0.27
Mali,20250833,3.02,592802,17,1220190,0.26
Romania,19237691,-0.66,-126866,84,230170,0.25
Malawi,19129952,2.69,501205,203,94280,0.25
Chile,19116201,0.87,164163,26,743532,0.25
Kazakhstan,18776707,1.21,225280,7,2699700,0.24
Zambia,18383955,2.93,522925,25,743390,0.24
Guatemala,17915568,1.9,334096,167,107160,0.23
Ecuador,17643054,1.55,269392,71,248360,0.23
Syria,17500658,2.52,430523,95,183630,0.22
Netherlands,17134872,0.22,37742,508,33720,0.22
Senegal,16743927,2.75,447563,87,192530,0.21
Cambodia,16718965,1.41,232423,95,176520,0.21
Chad,16425864,3.0,478988,13,1259200,0.21
Somalia,15893222,2.92,450317,25,627340,0.2
Zimbabwe,14862924,1.48,217456,38,386850,0.19
Guinea,13132795,2.83,361549,53,245720,0.17
Rwanda,12952218,2.58,325268,525,24670,0.17
Benin,12123200,2.73,322049,108,112760,0.16
Burundi,11890784,3.12,360204,463,25680,0.15
Tunisia,11818619,1.06,123900,76,155360,0.15
Bolivia,11673021,1.39,159921,11,1083300,0.15
Belgium,11589623,0.44,50295,383,30280,0.15
Haiti,11402528,1.24,139451,414,27560,0.15
Cuba,11326616,-0.06,-6867,106,106440,0.15
South Sudan,11193725,1.19,131612,18,610952,0.14
Dominican Republic,10847910,1.01,108952,225,48320,0.14
Czech Republic (Czechia),10708981,0.18,19772,139,77240,0.14
Greece,10423054,-0.48,-50401,81,128900,0.13
Jordan,10203134,1.0,101440,115,88780,0.13
Portugal,10196709,-0.29,-29478,111,91590,0.13
